,date,timestamp,price,negative_score,neutral_score,polarity_score,positive_score,Price_Change
78,2021-01-28 21:00:00,1611868132012,0.0236839137233644,0.0390557620817844,0.895627633209418,0.0666423791821561,0.065320322180917,0
79,2021-01-28 22:00:00,1611871380997,0.0238989928173894,0.032131129476584,0.885457162534435,0.0896009366391184,0.0824059228650138,0.9081231106361550
80,2021-01-28 23:00:00,1611875977944,0.0262101588990951,0.040873727735369,0.874469147582696,0.076740895356234,0.0846552162849872,9.6705585016287700
81,2021-01-29 00:00:00,1611879987632,0.0377386714506334,0.0576680448364572,0.860638147739801,0.0413220286659316,0.0816952315325248,43.9849014114001000
82,2021-01-29 01:00:00,1611882331490,0.0435758047205051,0.0544251702417433,0.863880064691862,0.0506544705481783,0.0816908920667346,15.4672463165731000
83,2021-01-29 02:00:00,1611886233017,0.0384907065452497,0.0473558723884811,0.858601693958217,0.0780726491624318,0.0940360154338416,-11.6695450786765000
84,2021-01-29 03:00:00,1611890347291,0.0429298308729481,0.0635218745808182,0.851685263246143,0.0393156608819584,0.0847928730717639,11.5329769862233000
85,2021-01-29 04:00:00,1611893112223,0.0707546317753101,0.0562825545349298,0.854257728574476,0.0606237209045486,0.0894640118971453,64.8146063857325000
86,2021-01-29 05:00:00,1611897588779,0.0699493274530871,0.0562501935256862,0.846753016822492,0.0796456915820518,0.0969937166985021,-1.1381648127013700
87,2021-01-29 06:00:00,1611901152382,0.0557833711084493,0.0559698569168448,0.848561023893554,0.0767159719252189,0.0954739662836049,-20.2517405962745000
88,2021-01-29 07:00:00,1611904673204,0.0553768938907823,0.0595586861169533,0.837803797479731,0.0759114882525303,0.102636818026569,-0.7286709454628720
89,2021-01-29 08:00:00,1611907489942,0.0508365105543069,0.0561440083604273,0.85725730763276,0.0632665226815296,0.0865999458120451,-8.1990574361758600
90,2021-01-29 09:00:00,1611911682738,0.0477524496822461,0.0585691830985915,0.854994779342724,0.0647977558685445,0.0864348169014084,-6.0666258136781500
91,2021-01-29 10:00:00,1611914552017,0.0395639113795518,0.0508780993121959,0.855389976514006,0.0717892308337527,0.0937316725381646,-17.1478915891905000
92,2021-01-29 11:00:00,1611918385790,0.0463143854503733,0.0455748477705755,0.857018581811038,0.100080887841289,0.0974081909251621,17.0622009691145000
93,2021-01-29 12:00:00,1611922180359,0.0498226607671852,0.0511482556216931,0.858364922288359,0.0763585557208993,0.0904822751322751,7.5749149701469800
94,2021-01-29 13:00:00,1611925439193,0.0598968912539733,0.0559388334663474,0.858490782122905,0.0647167717478051,0.0855737829209898,20.2201775891971000
95,2021-01-29 14:00:00,1611929245633,0.0529573222361058,0.0547097975583373,0.865096352959357,0.0587418675629732,0.0801958429918096,-11.5858584186657000
96,2021-01-29 15:00:00,1611933613136,0.0573229566150175,0.0484627560280011,0.86588757670037,0.0780987998012272,0.0856507443176908,8.2436841489981000
97,2021-01-29 16:00:00,1611936749541,0.0539609152465885,0.0526458931419458,0.854418572567783,0.0866878205741626,0.0929370494417862,-5.8650871604696900
98,2021-01-29 17:00:00,1611940097741,0.0522196157479108,0.0657822468431165,0.84639688881428,0.0414467773674296,0.0878206489097793,-3.2269643513650100
99,2021-01-29 18:00:00,1611943754319,0.0455828684929866,0.0635134413010797,0.84223208282083,0.0662184351510182,0.094262655459888,-12.7092992927466000
100,2021-01-29 19:00:00,1611947645384,0.0466526796157732,0.057011350148368,0.848972527200791,0.0775344362017805,0.0940089350478075,2.3469587548032500
101,2021-01-29 20:00:00,1611951546035,0.0481527126500427,0.0569268645731109,0.851236367353615,0.0652259044815179,0.0918365472685638,3.2153202058780400
102,2021-01-29 21:00:00,1611954896594,0.0519606724774956,0.059349756959788,0.856313146266017,0.0532798269259095,0.0843395640005892,7.9080899452702400
103,2021-01-29 22:00:00,1611958479854,0.0528530690683236,0.0622940711111111,0.847034622222223,0.082315648,0.090674062222222,1.7174461920493800
104,2021-01-29 23:00:00,1611961411437,0.0491277066984142,0.0615263738250181,0.852259128705712,0.0525678289949385,0.0862142534345625,-7.0485261037416600
105,2021-01-30 00:00:00,1611965528233,0.0480466056446879,0.0735203354297694,0.833036194968554,0.0501889905660378,0.093446750524109,-2.2005933644795900
106,2021-01-30 01:00:00,1611968800786,0.0480073436243004,0.0749344279223461,0.827335450227179,0.0594825743494423,0.097733839322594,-0.0817165330634358
107,2021-01-30 02:00:00,1611972408006,0.0438633061868954,0.0872101295336788,0.805089525043177,0.0321842823834197,0.107703126079447,-8.6320906856162100
108,2021-01-30 03:00:00,1611976735413,0.0391044201465484,0.10505833436853,0.788204378881987,0.0157868247412008,0.106736975155279,-10.8493555412126000
109,2021-01-30 04:00:00,1611980085103,0.0342370621036335,0.0839785021812894,0.803697649054774,0.0533833034415898,0.112319001454193,-12.4470789355114000
110,2021-01-30 05:00:00,1611984094688,0.033971791371219,0.0932965055593373,0.797403778080327,0.0331477206716587,0.109295858860903,-0.774805769290431
111,2021-01-30 06:00:00,1611987499757,0.0315556063157606,0.0989083617747441,0.78962717861206,0.0227792969283276,0.111462696245734,-7.11232748681425
112,2021-01-30 07:00:00,1611991448274,0.0310006258106341,0.099970585701981,0.789007680160782,0.027653407981625,0.111016207292564,-1.7587382082698600
113,2021-01-30 08:00:00,1611994534164,0.0314487879234525,0.0826260162601626,0.800611881005173,0.0604716555801922,0.116763396156689,1.4456550508237400
114,2021-01-30 09:00:00,1611998595464,0.0315204012506494,0.0602219902574809,0.827662839248435,0.100514839944328,0.112127696590118,0.2277141089545630
